sepalLength	sepalWidth	petalLength	petalWidth	species
8478	4	2000	2000	Henderson
8264	3	2000	2000	Henderson
6514	3	2000	2000	Henderson
7763	9	2000	2000	Henderson
7410	2	2000	2000	Henderson
7050	5	2000	2000	Henderson
5985	3	2000	2000	Henderson
5728	3	2000	2000	Henderson
5706	3	2000	2000	Henderson
5692	3	2000	2000	Henderson
5397	4	2000	2000	Henderson
4521	3	2000	2000	Henderson
4404	4	2000	2000	Henderson
4538	3	2000	2000	Henderson
4275	3	2000	2000	Henderson
4162	3	2000	2000	Henderson
7928	4	2000	2000	Belle Haven
4891	5	2000	2000	EAST PALO ALTO
4423	3	2000	2000	EAST PALO ALTO
8203	4	2000	2000	Duveneck - St. Francis 
7920	5	2000	2000	Menlo Oaks
9306	4	2000	2000	University South
9608	4	2000	2000	Crescent Park
8330	3	2000	2000	Crescent Park
7257	5	2000	2000	Crescent Park
6754	6	2000	2000	Crescent Park
6682	4	2000	2000	Crescent Park
6306	5	2000	2000	Crescent Park
5705	7	2000	2000	Crescent Park
5355	3	2000	2000	Crescent Park
4725	3	2000	2000	Crescent Park
4693	4	2000	2000	Crescent Park
4687	3	2000	2000	Crescent Park
4436	2	2000	2000	Crescent Park
4264	1	2000	2000	Crescent Park
4057	3	2000	2000	Crescent Park
5624	2	2000	2000	Allied Arts
5966	8	2000	2000	Downtown North
5175	3	2000	2000	Downtown North
4515	6	2000	2000	Downtown North
7066	4	2000	2000	Fair Oaks
6322	6	2000	2000	Fair Oaks
9780	4	2000	2000	Fair Oaks
11300	3	2000	2000	Pine Forest
9180	4	2000	2000	Midtown
